Year,Habitat,Cover,Substrate
2005,Outer 10,37.77498016,Coral
2006,Outer 10,37.57998016,Coral
2007,Outer 10,33.59384921,Coral
2008,Outer 10,21.67972222,Coral
2009,Outer 10,9.707698413,Coral
2010,Outer 10,3.63040873,Coral
2011,Outer 10,2.706507937,Coral
2012,Outer 10,3.969166667,Coral
2013,Outer 10,12.44268651,Coral
2005,Outer 10,4.140595238,Turf
2006,Outer 10,3.558186508,Turf
2007,Outer 10,5.558603175,Turf
2008,Outer 10,10.90888889,Turf
2009,Outer 10,18.02924603,Turf
2010,Outer 10,0.767912698,Turf
2011,Outer 10,6.119623016,Turf
2012,Outer 10,33.41129762,Turf
2013,Outer 10,23.18893254,Turf
2005,Outer 10,4.673730159,Macroalgae
2006,Outer 10,3.156702381,Macroalgae
2007,Outer 10,2.911333333,Macroalgae
2008,Outer 10,11.30482143,Macroalgae
2009,Outer 10,13.9910119,Macroalgae
2010,Outer 10,5.796281746,Macroalgae
2011,Outer 10,7.996071429,Macroalgae
2012,Outer 10,13.76692857,Macroalgae
2013,Outer 10,8.479043651,Macroalgae
